bank_name,txn_id,amount,hour,day_of_week,is_weekend,device_risk_score,location_risk_score,user_behavior_score,outcome
SBI SAVINGS,TXN2918767,150000.0,18,1,0,0.5960435954776472,0.10745055262890812,0.016912799921607324,0
UNKNOWN,TXN3572696,15044.0,22,5,1,0.678887337188785,0.23679758545618013,0.0839625634467267,0
KOTAK SAVINGS,TXN3861054,9248.0,0,5,1,0.5217334188532456,0.21320393138913507,0.7817289890047594,1
KOTAK SAVINGS,TXN4372513,500000.0,18,4,0,0.9061009286804258,0.13773409888780863,0.05434809834865706,0
SBI SAVINGS,TXN4028094,94338.0,17,4,0,0.8429454824561972,0.4458866198598078,0.7085835457678252,1
ICICI CURRENT,TXN2605700,18175.0,5,5,1,0.5347994662811925,0.9962244930446387,0.47453356262244073,1
BOB SAVINGS,TXN7250265,43724.0,16,3,0,0.6043044198214789,0.6300186806188274,0.4173829418004733,0
AXIS SAVINGS,TXN9119066,82411.0,7,1,0,0.1625110652974563,0.9597457214619692,0.8515814000172374,1
BOB SAVINGS,TXN9940850,61992.0,18,1,0,0.007463140417219405,0.4226866196574257,0.7180681612008608,0
ICICI CURRENT,TXN7776431,93722.0,11,4,0,0.44018032869719315,0.06930777303829483,0.5782183812232895,1
KOTAK SAVINGS,TXN9444618,67307.0,17,1,0,0.05572798570098447,0.9117278483416327,0.7020825668844966,1
SBI SAVINGS,TXN8418849,-100.0,5,1,0,0.718699265972796,0.5862354987807616,0.4923670487012489,0
KOTAK SAVINGS,TXN9814933,500000.0,2,5,1,0.5429404444893278,0.1293806169667009,0.37582121900794097,0
KOTAK SAVINGS,TXN8449065,49403.0,8,6,1,0.46830059145638514,0.8531281719102366,0.9335804560066894,1
ICICI CURR,TXN9470622,7611.0,5,6,1,0.2854040684634225,0.5858083942152443,0.10948236606899397,0
UNKNOWN,TXN-6734586,56018.0,11,4,0,0.5091579655626026,0.02466995454048715,0.40689843139062787,0
AXIS SAVINGS,TXN-3177026,45407.0,9,0,0,0.019651482746847804,0.8793930568071955,0.9656098313808841,0
HDFC SAVINGS,TXN8190433,1907.0,7,1,0,0.9802612078164991,0.6501132234192136,0.7420224518797602,1
KOTAK SAVINGS,TXN1491449,73303.0,20,0,0,0.11576004624632463,0.8441858958240817,0.1393023387079143,1
AXIS SAVINGS,TXN2132656,-100.0,19,2,0,0.8255348415204157,0.7913107143126669,0.20091133968552244,0
BOB SAVINGS,TXN4553722,60120.0,0,6,1,0.6451500833009034,0.016969129315466458,0.9603667746221303,0
SBI SAVINGS,TXN2042120,56322.0,6,4,0,0.8226574684804273,0.013281203458580082,0.5420152984797261,1
KOTAK SAVINGS,TXN3714705,42617.0,5,0,0,0.14938163622643208,0.648256954077822,0.17238636210516622,1
UNKNOWN,TXN7657944,500000.0,4,1,0,0.6268329044150672,0.2531989070128102,0.8036934518773025,0
BOB SAVINGS,8867863,55312.0,17,3,0,0.41798408550691357,0.853284798567202,0.8561536219946603,0
AXIS SAVINGS,TXN5454993,10930.0,12,3,0,0.3560672991191448,0.788913962965867,0.2336904488253636,1
SBI SAVINGS,TXN6404721,79623.0,3,1,0,0.044509039276171336,0.289136718418761,0.45128517717763994,1
KOTAK SAVINGS,TXN1507757,48929.0,20,0,0,0.4745443501585562,0.36148714982181207,0.35872701954609876,1
ICICI CURRENT,TXN4922455,73367.0,13,0,0,0.8319415416880521,0.4035199924402112,0.333299859870525,1
SBI SAVINGS,TXN-1896641,62666.0,23,4,0,0.10626590479239584,0.7784284067813999,0.17053804889822588,0
SBI SAVINGS,TXN4995737,43006.0,11,2,0,0.44730275625260063,0.9655179182347664,0.3773484772303116,1
SBI SAVINGS,TXN7434291,99977.0,20,4,0,0.23756001456776987,0.48927926105160313,0.2860899220312606,1
KOTAK SAVINGS,TXN6091342,15386.0,13,1,0,0.8743980317083307,0.3525292413005173,0.7226835744744866,1
KOTAK SAVINGS,TXN3719047,3514.0,15,4,0,0.5832761971390966,0.7347592888493786,0.3215330088383408,1
HDFC SAVINGS,2923298,52067.0,10,6,1,0.8371619641950256,0.8652945592010245,0.6028463803956364,0
ICICI CURRENT,TXN4271364,83570.0,10,1,0,0.3134773598464504,0.6205568470234586,0.6383500651307308,1
ICICI CURRENT,TXN6674922,79554.0,7,4,0,0.11800602661937487,0.7565391672262407,0.09524893397286949,1
HDFC SAVINGS,TXN3855490,27500.0,11,2,0,0.050322932934663944,0.06290747601802393,0.1873467913267889,1
KOTAK SAVINGS,TXN6920399,3772.0,19,3,0,0.0158518422318763,0.7299235192858211,0.8887465168138129,1
SBI SAVINGS,TXN580674,46738.0,0,2,0,0.2793394852765595,0.3693911644551138,0.15953995668842358,1
ICICI CURR,2721742,42400.0,13,5,1,0.297214113845096,0.1356266160073134,0.14562864670542341,0
HDFC SAVINGS,9391893,70969.0,10,3,0,0.6109263874834779,0.001268076915490246,0.894007197916806,0
HDFC SAVINGS,TXN3898057,7374.0,17,3,0,0.05122429640431325,0.49651542223060485,0.12331849107529225,1
ICICI CURRENT,5591901,94946.0,6,6,1,0.4064185410021378,0.8093695444369458,0.37928339172754455,0
KOTAK SAVINGS,TXN6796579,50540.0,15,0,0,0.5785639322793544,0.9113418162164088,0.5540992803958261,1
HDFC SAVINGS,TXN694,9506.0,9,2,0,0.7405095212183186,0.7569268451270138,0.6067162019700039,0
HDFC SAVINGS,TXN6896877,15763.0,6,6,1,0.28716476513055744,0.32774722589612815,0.1156056106115122,1
ICICI CURRENT,TXN5410074,37793.0,15,1,0,0.47299059369815266,0.5196850311503769,0.19057604651719384,1
HDFC SAVINGS,TXN1283493,30700.0,1,0,0,0.6644237865926779,0.4527543377087401,0.8355402245437075,1
BOB SAVINGS,TXN5787136,21631.0,7,4,0,0.5626554229027424,0.7621875111940821,0.7136073662634715,0
KOTAK SAVINGS,TXN1425831,-100.0,8,6,1,0.38943468007767323,0.9517024063905372,0.31972084933985423,0
SBI SAVING,TXN862557,41112.0,1,5,1,0.017713850609389015,0.703199784775487,0.02170009527554162,0
KOTAK SAVINGS,TXN757191,72783.0,11,6,1,0.36176831192256587,0.5242547205377367,0.6707273254426008,1
SBI SAVINGS,TXN3872380,83642.0,20,4,0,0.029299443103418366,0.6181029655616969,0.5095088732242019,1
SBI SAVINGS,TXN4090919,369.0,8,2,0,0.6825992797813054,0.8714885417573883,0.23748604236219983,1
UNKNOWN,TXN4124537,17208.0,7,0,0,0.18993474366102003,0.46071217134827547,0.2862798621119409,0
KOTAK SAVINGS,TXN1381258,98100.0,15,6,1,0.2736663849214577,0.9800054631968169,0.5962585752327021,1
ICICI CURRENT,TXN9986726,70199.0,6,1,0,0.4467836765082115,0.4475002478104283,0.9550229196116685,1
BOB SAVINGS,TXN3647480,45713.0,1,4,0,0.6294237111171005,0.2569142846922934,0.8008026879785246,0
SBI SAVINGS,TXN9420804,28616.0,15,5,1,0.20934839938409877,0.039417585120362975,0.7413087083507622,1
HDFC SAVI,ABC2235896,3651.0,12,6,1,0.27976693088704085,0.5649526076524732,0.08814224339079213,0
ICICI CURRENT,TXN6734699,87422.0,15,6,1,0.9187473048042515,0.4403742230252107,0.5487798592630116,1
HDFC SAVINGS,TXN-4174999,15541.0,8,3,0,0.04778136468140537,0.3522309750707453,0.8565719886833357,0
SBI SAVINGS,TXN6503679,-100.0,14,5,1,0.9883705667215711,0.4652775312759233,0.05823783082027523,0
SBI SAVINGS,TXN9774961,53081.0,19,5,1,0.7347618113553444,0.25214395583894356,0.4908103012680428,1
ICICI CURRENT,TXN6373672,0.0,15,5,1,0.2688615449790066,0.02103690246046863,0.7228392039002123,0
KOTAK SAVINGS,TXN377834,80033.0,21,3,0,0.8410961706161014,0.9968492842814399,0.4303431736890725,1
SBI SAVINGS,TXN8775237,1068.0,11,5,1,0.9487904976919181,0.26804718737863775,0.8114659391516817,1
AXIS SAVINGS,TXN1986522,-100.0,10,5,1,0.7964517695378094,0.5470629909184421,0.6499520981658891,0
SBI SAVINGS,TXN3681877,86339.0,17,4,0,0.6225753978327817,0.010046981054831594,0.1948404916553641,1
HDFC SAVINGS,TXN3502410,21169.0,16,3,0,0.06579821779523898,0.7059852660508185,0.23820943547561613,1
KOTAK SAVINGS,TXN3291319,96135.0,9,0,0,0.9629579946486296,0.607685641050811,0.9833872204605726,1
SBI SAVING,TXN7017571,35257.0,12,6,1,0.3488704166052904,0.9231687117541794,0.2066431848917053,0
HDFC SAVI,TXN2962750,7870.0,12,6,1,0.7271628097401385,0.9807611743888516,0.15569259775593292,0
ICICI CURRENT,TXN1715270,15765.0,11,3,0,0.8352440601588657,0.3653668415506528,0.8416154597578153,1
ICICI CURRENT,ABC5225702,15211.0,6,1,0,0.6069731162742654,0.18849985279556114,0.8049668338816853,0
UNKNOWN,TXN867128,41153.0,18,5,1,0.1444364841550776,0.44206621311807504,0.33410465208656326,0
AXIS SAVINGS,TXN3933538,6862.0,16,6,1,0.0016011875490288263,0.2832190838096674,0.8814103323232501,1
KOTAK SAVINGS,TXN3067381,91142.0,19,4,0,0.5601159830093484,0.38646256432793524,0.4202496018075419,1
AXIS SAVINGS,TXN6343383,33838.0,15,5,1,0.9200381641090526,0.2706836043017311,0.37049143705951426,1
SBI SAVINGS,TXN5606126,85194.0,17,5,1,0.41030372187266206,0.4707009994910616,0.04914839034517704,1
ICICI CURRENT,TXN6258157,70383.0,18,6,1,0.4828785341158436,0.39032577926155465,0.9090625428967315,1
AXIS SAVINGS,ABC9678672,86754.0,9,1,0,0.12906512482906296,0.5368591465026183,0.9365702180708392,0
ICICI CURRENT,TXN7481740,20801.0,5,1,0,0.7284939338474402,0.1996697380406467,0.3712709205053938,1
ICICI CURRENT,TXN4665861,13027.0,9,0,0,0.8183606413952167,0.1716781950432169,0.8078314518266223,1
HDFC SAVINGS,TXN2727014,1588.0,0,4,0,0.5246723066856223,0.6393748005427755,0.33799878102849,1
BOB SAVINGS,TXN2613595,82191.0,2,2,0,0.49459705276375876,0.8947475708313011,0.26766843719429756,0
AXIS SAVINGS,TXN8928325,9778.0,17,6,1,0.1980030303075535,0.43802179635032934,0.40874376280852787,1
AXIS SAVINGS,TXN5219641,63621.0,10,0,0,0.5722838145420012,0.44185370809106395,0.34671876123591117,1
KOTAK SAVINGS,TXN9783733,34078.0,0,5,1,0.8733108732577283,0.041644022339980324,0.8306357646860892,1
KOTAK SAVINGS,TXN2712761,49574.0,13,0,0,0.23318755442161632,0.8644029871943977,0.30936856208001284,1
HDFC SAVINGS,TXN2326217,55284.0,9,2,0,0.8030371607674718,0.4152614375728205,0.28354801090964765,1
HDFC SAVINGS,TXN7418898,88698.0,9,1,0,0.3045231891513833,0.02485951591579416,0.003914105735390638,1
HDFC SAVINGS,ABC6715379,61608.0,12,3,0,0.4981987195616854,0.4386677720315755,0.21827319878149376,0
SBI SAVINGS,TXN9683663,93191.0,15,4,0,0.5913011489232447,0.8868409028316071,0.8888550983934195,1
KOTAK SAVINGS,TXN6229877,41917.0,0,1,0,0.8072616493262504,0.4596327543564602,0.2236025483236711,1
UNKNOWN,TXN7693548,-100.0,23,1,0,0.14284590759192373,0.7642515980693955,0.7899745000167728,0
KOTAK SAVINGS,TXN1364008,16143.0,2,0,0,0.7249311975196192,0.11418378023713216,0.518318722429183,1
AXIS SAVINGS,TXN4076808,25762.0,8,3,0,0.0631882792745162,0.5981874999385286,0.6018263486330478,1
HDFC SAVINGS,TXN5262425,500000.0,20,6,1,0.26429975277375495,0.2872413479748408,0.5113390897961327,0
UNKNOWN,TXN9125639,33893.0,17,1,0,0.05474498225959512,0.3550152661362467,0.4819001671099774,0
AXIS SAVINGS,TXN6938163,94754.0,13,0,0,0.5505453006199955,0.8258882264268146,0.3035039091479522,1
SBI SAVINGS,TXN8612270,10975.0,22,4,0,0.09804453811093983,0.5268171660504134,0.057099078445176366,1
HDFC SAVINGS,TXN1204188,39711.0,16,6,1,0.9579120757156483,0.8242679859228745,0.5648414367174266,1
SBI SAVINGS,TXN2607720,3204.0,3,5,1,0.9357492615245504,0.5976131909324605,0.8094274884628149,1
HDFC SAVI,7901013,60304.0,11,0,0,0.4050010985875484,0.9315444071065202,0.08900973489600883,0
HDFC SAVINGS,3675877,2890.0,1,1,0,0.5144524344015394,0.330991947603403,0.8374508948347339,0
KOTAK SAVINGS,TXN6211053,13935.0,15,6,1,0.9084101072685695,0.7812906474056922,0.019401245618215435,1
ICICI CURRENT,TXN1133290,31386.0,23,5,1,0.8728302341533203,0.8145652121135027,0.23392282077938487,1
KOTAK SAVINGS,TXN7449953,8860.0,12,2,0,0.4275075575926496,0.7328383372724155,0.33630809441374976,1
ICICI CURRENT,TXN6256225,19382.0,7,1,0,0.2655875983073599,0.767233394159223,0.20588731076659939,1
ICICI CURRENT,ABC9290288,48381.0,8,2,0,0.47704822517935463,0.8348994283643915,0.7558863795678163,0
HDFC SAVINGS,TXN3356505,91550.0,18,3,0,0.6288731444133052,0.762847902346479,0.765270524116957,1
AXIS SAVINGS,TXN9457832,81868.0,4,2,0,0.9270041601014083,0.6484549141814349,0.3795993564483323,1
AXIS SAVINGS,ABC3609163,4948.0,3,2,0,0.03955750656261314,0.4030387579071322,0.6491539648308727,0
HDFC SAVINGS,TXN5817467,96344.0,18,0,0,0.47517086602262826,0.31725917435686757,0.7663040711189001,1
KOTAK SAVINGS,TXN4966940,7311.0,0,0,0,0.8822350810207651,0.14701495489977856,0.7108943304605416,1
HDFC SAVI,TXN9184970,70659.0,11,3,0,0.35982490063656647,0.5407656313005429,0.6773006863356594,0
ICICI CURRENT,TXN5606336,500000.0,14,1,0,0.2981503562765556,0.12646424540357115,0.8425545014651813,0
AXIS SAVINGS,TXN9073541,84217.0,21,3,0,0.43604697411857907,0.7486721752509908,0.8279249545453125,1
SBI SAVINGS,TXN3877173,32584.0,13,0,0,0.8425345083518017,0.3032081937596749,0.42944789707870257,1
KOTAK SAVINGS,5745920,-100.0,14,0,0,0.4556256153552002,0.7057590510369849,0.820840236704851,0
SBI SAVINGS,TXN6608676,29048.0,14,2,0,0.8358884081262424,0.10127612383100637,0.6758926228302107,1
SBI SAVINGS,TXN5222969,92439.0,20,0,0,0.9025421148429531,0.07330581811371983,0.8941821586165712,1
AXIS SAVINGS,TXN5409068,36559.0,10,3,0,0.9843219788140413,0.3834811225750425,0.1522282139168668,1
HDFC SAVINGS,TXN3666568,57746.0,11,4,0,0.8629640464754754,0.2660213767288018,0.5908158748955077,1
SBI SAVINGS,TXN967838,13664.0,16,5,1,0.205187142904807,0.487082544323578,0.8782524677323466,1
ICICI CURRENT,TXN9410837,88208.0,0,1,0,0.2469654124670625,0.8996124893723151,0.9108242203303961,1
HDFC SAVI,TXN5134253,39535.0,22,6,1,0.03429790130331167,0.4975660833887259,0.1548426816202274,0
SBI SAVINGS,TXN9027811,0.0,9,4,0,0.18262513025310112,0.5739751750317419,0.6374046122611835,0
SBI SAVINGS,TXN2559507,99324.0,1,3,0,0.032947868245529977,0.5901274059265421,0.5241546676947559,1
HDFC SAVINGS,TXN4788827,97920.0,0,0,0,0.04317029086294144,0.30960074508550006,0.3201101410059012,1
SBI SAVING,9559531,21535.0,6,1,0,0.664100671147891,0.5280474490037993,0.9694414691322568,0
KOTAK SAVINGS,TXN853,500000.0,14,0,0,0.010798392389511968,0.7010112670950407,0.11326975306468579,0
AXIS SAVINGS,TXN8240210,1246.0,0,5,1,0.2781436404489108,0.32450664916894734,0.9451224487448869,1
HDFC SAVINGS,TXN8806406,55382.0,9,2,0,0.866855213027066,0.6262592746624267,0.6690535153169479,1
ICICI CURRENT,TXN5406175,69410.0,2,6,1,0.753813712978369,0.21905917305988332,0.4430399766351608,1
AXIS SAVINGS,TXN4298811,-100.0,14,5,1,0.5085274317735725,0.31845196680580434,0.7309280359330333,0
AXIS SAVINGS,TXN3435705,11255.0,18,0,0,0.6110234115419245,0.6241920728962704,0.13203517688999555,1
HDFC SAVINGS,TXN6303690,90899.0,20,2,0,0.3563904992999042,0.10094768163604062,0.961888238725708,1
HDFC SAVINGS,TXN6291081,9796.0,11,4,0,0.7800840237349648,0.7712248152904037,0.22810037790238513,1
HDFC SAVI,TXN8413264,25288.0,2,2,0,0.4864050355361782,0.5049328040894001,0.17641191042788618,0
UNKNOWN,TXN2385362,57894.0,17,2,0,0.36901773241117275,0.13551687356075404,0.5183996266330652,0
SBI SAVINGS,TXN4873598,69919.0,19,1,0,0.9435531456494094,0.9025338826385755,0.8721611519695065,1
SBI SAVINGS,TXN8456164,92404.0,6,2,0,0.5486343051945836,0.9733942914360433,0.43868470289979355,1
HDFC SAVINGS,ABC9185997,46941.0,6,3,0,0.28468776154427167,0.887608329493955,0.36785069460745845,0
HDFC SAVINGS,TXN9588077,500000.0,17,2,0,0.8254583257962852,0.056002308939000156,0.48010782795228635,0
SBI SAVINGS,TXN7973692,80619.0,17,5,1,0.9039530651898893,0.32066275473643224,0.5523380134555028,1
HDFC SAVINGS,TXN2302888,61510.0,0,5,1,0.40879301727117257,0.3267730981550452,0.7448653584662795,1
ICICI CURRENT,TXN2177645,61306.0,4,1,0,0.9639160120731884,0.6415796812433943,0.02343295536738821,1
HDFC SAVINGS,TXN8246836,98561.0,0,6,1,0.6590346810990013,0.050455570620123735,0.10456286475434151,1
BOB SAVINGS,TXN803645,5168.0,7,0,0,0.9484251555414929,0.8424641068355752,0.7223735076327985,0
SBI SAVINGS,TXN9340832,44675.0,16,2,0,0.487467835463974,0.3641210568415054,0.639386421454098,1
AXIS SAVINGS,TXN4535728,87484.0,19,1,0,0.8329941385530004,0.29757071644081545,0.7892906546771047,1
HDFC SAVINGS,TXN9953066,74520.0,21,5,1,0.11992185892713014,0.32073309234467307,0.8676416147202234,1
SBI SAVINGS,TXN3589550,10779.0,21,1,0,0.6615910659592654,0.2363365902687512,0.09785700271645004,1
SBI SAVINGS,TXN6796674,59950.0,20,1,0,0.7835838947428837,0.9219874759651726,0.19505472223636333,1
ICICI CURR,TXN391,56222.0,2,0,0,0.6195682247786596,0.6755323686200567,0.7773325140821933,0
SBI SAVINGS,TXN8752111,60314.0,3,2,0,0.9849291084414916,0.9457747170084609,0.19710603882365219,1
UNKNOWN,TXN6750723,8081.0,7,5,1,0.15414752433633416,0.8556436641449466,0.5146695240518275,0
ICICI CURRENT,TXN2060299,74922.0,12,0,0,0.26302583574278404,0.1636084208437122,0.3627671331374759,1
SBI SAVINGS,TXN8003797,38738.0,22,1,0,0.6874368609408673,0.3254182806826078,0.09473891477934415,1
SBI SAVING,TXN6226463,12976.0,13,6,1,0.5599936714635579,0.738928296130955,0.8126126390881718,0
HDFC SAVINGS,TXN2722280,10847.0,11,6,1,0.4690400466659629,0.5044247460634369,0.5850778163732161,1
ICICI CURRENT,TXN282,2581.0,18,4,0,0.6879100914553243,0.8639548220095106,0.2988631887868677,0
HDFC SAVINGS,TXN2314979,14261.0,19,2,0,0.5543007058479525,0.5271483816252647,0.7342278011860833,1
HDFC SAVINGS,TXN4687281,84154.0,11,0,0,0.8967465499077446,0.2107066650749062,0.22753387693646332,1
KOTAK SAVINGS,4969411,4483.0,22,4,0,0.7606065813900618,0.1682110924335416,0.8335741096457367,0
HDFC SAVINGS,TXN9757570,77067.0,8,4,0,0.9989046997630767,0.6077627687434245,0.40470587432917016,1
ICICI CURRENT,1387405,0.0,12,5,1,0.8366202103676581,0.6507883208469019,0.6141688503188927,0
KOTAK SAVINGS,TXN2310846,50017.0,12,3,0,0.6674155305338311,0.01276542651789736,0.8715518564582477,1
HDFC SAVINGS,TXN8541243,95853.0,12,0,0,0.8777129606969395,0.8131499883638141,0.9578302174752765,1
BOB SAVINGS,TXN9447003,39221.0,6,0,0,0.8503177081575989,0.21285008603835742,0.6687532544498137,0
HDFC SAVINGS,TXN220,31286.0,0,0,0,0.18593364087438458,0.22436917569848602,0.49384919570810026,0
HDFC SAVI,TXN1233629,56362.0,11,0,0,0.7869757993812009,0.05638185385323158,0.3693826475825851,0
ICICI CURRENT,TXN-2694545,66434.0,6,6,1,0.3841607579534625,0.8359354900165079,0.148633215577885,0
KOTAK SAVINGS,TXN2105464,18158.0,19,1,0,0.7484063444050378,0.9613346311948062,0.4589697180653488,1
AXIS SAVINGS,TXN3586082,87890.0,23,3,0,0.8555888940755634,0.5306951897635214,0.25523243434428344,1
ICICI CURRENT,TXN5427701,10208.0,23,5,1,0.6637916239414441,0.11338709555257254,0.720616290663715,1
AXIS SAVINGS,TXN992743,35158.0,1,2,0,0.9513963724844156,0.6223166372485518,0.7067185770445601,1
AXIS SAVINGS,TXN6722266,53011.0,20,5,1,0.0012844255268014138,0.12015925873562194,0.5345545447560391,1
HDFC SAVINGS,TXN2719909,0.0,15,1,0,0.9975825929459724,0.8869421108828673,0.8104365856156253,0
HDFC SAVINGS,1217767,54817.0,14,1,0,0.8406326448191253,0.8476403295092552,0.7715697260558262,0
SBI SAVING,TXN3029386,2598.0,21,2,0,0.03907868600195519,0.6385437274019135,0.05059685367658173,0
ICICI CURR,TXN7222759,61708.0,8,2,0,0.6906227420813416,0.5134344971258201,0.6506065232521034,0
SBI SAVING,TXN2973382,50193.0,23,1,0,0.8863686470955409,0.8378732701193627,0.8827816996264968,0
HDFC SAVI,TXN7168566,91274.0,12,0,0,0.4382986080331659,0.26269330988000517,0.1647177469429809,0
AXIS SAVINGS,TXN8031827,11442.0,20,2,0,0.07324560410739012,0.8123173327141189,0.7524092332120093,1
AXIS SAVINGS,TXN1944348,98558.0,6,6,1,0.6214644226567846,0.7778777055368772,0.5003583603843902,1
SBI SAVINGS,TXN6091233,10533.0,14,4,0,0.7697723073855856,0.5613558241893379,0.8828364906780791,1
AXIS SAVINGS,TXN5573024,85123.0,2,6,1,0.5796324582018182,0.5555250680627196,0.7396216846529949,1
HDFC SAVINGS,TXN6764677,9629.0,9,3,0,0.8811051483565658,0.2566616898959144,0.5929847477554939,1
SBI SAVING,TXN4574220,68772.0,0,3,0,0.7112658247104531,0.09998524748377668,0.03354587141215781,0
AXIS SAVINGS,TXN1699826,37764.0,18,6,1,0.8407850719391146,0.03342653309322163,0.3667520764259401,1
HDFC SAVINGS,TXN4423492,29766.0,1,4,0,0.6397752015704224,0.054684620753365554,0.4073822791191404,1
KOTAK SAVINGS,ABC465750,80982.0,3,2,0,0.0007895110932187865,0.8101400907454612,0.08757456298623822,0
KOTAK SAVINGS,TXN1884210,40984.0,15,3,0,0.16393172095320274,0.735953560515178,0.3012312947939082,1
SBI SAVINGS,TXN8751964,78785.0,3,0,0,0.44577874755947033,0.8153546238555615,0.8893187599283195,1
HDFC SAVINGS,TXN1458293,-100.0,5,1,0,0.19644131522278585,0.6138459450077243,0.08771764171996432,0
AXIS SAVINGS,TXN810,20567.0,21,4,0,0.8579170722435677,0.29854792598216395,0.9237431312666485,0
HDFC SAVINGS,TXN1380280,49583.0,7,6,1,0.48921624868809066,0.3419344935747266,0.9242184348426601,1
SBI SAVINGS,TXN8203292,19690.0,2,2,0,0.7271311968819275,0.0007168587065797816,0.9368534300910153,1
AXIS SAVINGS,TXN8511159,35562.0,12,6,1,0.11530109033904934,0.10699126117462332,0.7194599676699719,1
UNKNOWN,TXN4145721,40819.0,17,0,0,0.45950226657031745,0.3625097313221236,0.5866463277749251,0
KOTAK SAVINGS,TXN9239390,55185.0,1,6,1,0.7152670825092443,0.5567323077592178,0.8547406185919787,1
ICICI CURR,TXN9122584,11696.0,19,1,0,0.8136157259807193,0.03576624301493525,0.5282266077271569,0
ICICI CURRENT,TXN2065629,61822.0,13,0,0,0.5683191510779255,0.4395077804475518,0.06724063405203662,1
KOTAK SAVINGS,TXN663506,98695.0,12,3,0,0.11836222785129802,0.6457591779380326,0.2500824689139418,1
ICICI CURR,TXN3016585,42216.0,8,2,0,0.19668855823121312,0.0553323871633461,0.19813074182357704,0
AXIS SAVINGS,TXN2197951,7026.0,17,3,0,0.3578411586415332,0.00845149606246054,0.8392079530394589,1
SBI SAVINGS,TXN6478384,70766.0,17,3,0,0.22427341824190528,0.38863229039883895,0.41598960797524165,1
HDFC SAVINGS,TXN4819707,72909.0,21,2,0,0.2100473372920696,0.39408364851003186,0.3166024348274129,1
SBI SAVINGS,TXN3799446,87213.0,21,2,0,0.8487675852813142,0.7060581146380308,0.4904544085197847,1
AXIS SAVINGS,TXN1540352,67639.0,22,4,0,0.47864487055052485,0.04466121637889875,0.3095593015130734,1
AXIS SAVINGS,TXN7591818,84107.0,2,6,1,0.04929966240916994,0.0023474738674531537,0.2447998730017259,1
KOTAK SAVINGS,TXN3554707,22924.0,21,3,0,0.3160047228663938,0.31410981908937075,0.6334641192357726,1
KOTAK SAVINGS,TXN3814528,14692.0,4,6,1,0.5967229901062171,0.33720203516895275,0.2625086042665441,1
KOTAK SAVINGS,TXN9221486,84119.0,15,1,0,0.6478223048244357,0.20953462395012568,0.14510557339645025,1
BOB SAVINGS,TXN3103337,0.0,1,3,0,0.17139831232475244,0.0789805993662317,0.693297468551492,0
HDFC SAVINGS,ABC8159562,63000.0,19,6,1,0.46846123708708653,0.5983060756960188,0.030970603422510123,0
KOTAK SAVINGS,TXN2542905,29406.0,18,4,0,0.1616376937845918,0.9058493899993058,0.5162478232000605,1
SBI SAVINGS,TXN5410825,34230.0,4,4,0,0.7537806010864153,0.44721374079378506,0.30972922175133,1
KOTAK SAVINGS,TXN687426,17672.0,8,5,1,0.22842585230842016,0.2740117803855475,0.31484115540873536,1
HDFC SAVINGS,TXN7564370,89337.0,17,3,0,0.7354365938921863,0.3034962317890152,0.3453439779263302,1
SBI SAVING,TXN3389363,33691.0,1,0,0,0.6728550378096911,0.8430369469277033,0.39882152692405737,0
HDFC SAVINGS,TXN1333387,23242.0,22,2,0,0.33646116257721226,0.5891563773937882,0.4544223191595411,1
HDFC SAVINGS,TXN4695772,23366.0,10,3,0,0.6422096370026974,0.24563157404881453,0.10927944536815992,1
ICICI CURRENT,TXN9671226,0.0,0,1,0,0.04097822224989045,0.7050632842053791,0.4509865026483437,0
ICICI CURRENT,TXN316651,99065.0,18,0,0,0.7058824446817216,0.9116386897353035,0.6524847284061576,1
ICICI CURRENT,TXN568163,53334.0,6,6,1,0.12262804997800658,0.4334636997331237,0.39672760046838584,1
SBI SAVING,TXN5840592,7508.0,22,1,0,0.1298988045368108,0.7154362032765404,0.06917419050541718,0
SBI SAVINGS,TXN759297,38666.0,14,1,0,0.4860575419026809,0.31378214330572873,0.1418443976169852,1
AXIS SAVINGS,ABC6059776,18326.0,12,3,0,0.5858630505279215,0.9760783324725189,0.5323043638481663,0
UNKNOWN,TXN9291099,40769.0,19,2,0,0.8073456212003686,0.7629929362896941,0.38615591859382115,0
UNKNOWN,TXN9263064,2882.0,20,1,0,0.499618411998762,0.30521453012885913,0.9737425820384935,0
AXIS SAVINGS,TXN2824006,77712.0,21,0,0,0.793893361762072,0.9893406378396238,0.6791583457435568,1
UNKNOWN,TXN1143423,27259.0,3,2,0,0.5201829357323937,0.567128707532373,0.5611511466719561,0
AXIS SAVINGS,TXN4548388,14589.0,8,4,0,0.5389808744501206,0.2878795033348446,0.12027096312860686,1
ICICI CURRENT,TXN1646557,-100.0,5,6,1,0.30543276608787084,0.7812569537828522,0.3659194354135754,0
HDFC SAVINGS,TXN6904327,32544.0,23,2,0,0.18125025555155194,0.7120079611981627,0.38495872263755715,1
ICICI CURRENT,3030888,96951.0,18,5,1,0.4362144171200454,0.19479380264392676,0.8160335023020684,0
ICICI CURR,TXN6001179,0.0,7,0,0,0.7305146540263266,0.0403252397209507,0.09476847103459396,0
SBI SAVINGS,TXN5090044,500000.0,0,6,1,0.2047139475951013,0.33481834471345107,0.33030768755687845,0
SBI SAVINGS,TXN1179229,14800.0,7,4,0,0.2895827046707271,0.5771997464225614,0.0658921650319727,1
